Ministry,Collective CA,Contract Account,Calendar Year/Month,Year,Month,Net Sales Quantity,Unit Cost,Net Sales Amount,Unnamed: 9,Collective Account,#Accounts Connected,Unnamed: 12,Accounts,Length of Service,Unnamed: 15,Non-SRCA Accounts,Status,Savings,Account_Type
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,1.2024,2024,January,3333,0.32,1066.56,,20000005027,4313,,10005606181,24,,10041652298,г—я“ Ў»н ѕ. ”бнг«д «бЌ»н»,487466.88,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,2.2024,2024,February,3684,0.32,1178.88,,20000015631,288,,10005767843,24,,10041819893,я—«ћ »ѕ«ќбе гЏѕ«  «б»бѕн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,3.2024,2024,March,2959,0.32,946.88,,20000016245,216,,10005767871,24,,10087678652,ж—‘… ‘—я… Џ»«н… яг«нб бб’д«Џ…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,4.2024,2024,April,3799,0.32,1215.68,,20000016531,48,,10005768798,24,,10090681669,‘—я… »д џ—н— бб’д«Џ«  «бгЏѕдн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,5.2024,2024,May,5143.76,0.319999378,1646,,20000017055,120,,10005768822,24,,10090687152,‘—я… ’»« «бЏ—»н… ббѕЏ«н… ж«б«Џб«д,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,6.2024,2024,June,10234.4,0.320000195,3275.01,,20000017421,24,,10005769795,24,,10100620322,ЁЌ’ ббЏг«б… «бгд“бн…,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,7.2024,2024,July,12839.84,0.320000093,4108.75,,20000017771,120,,10041218697,15,,10092138721,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,8.2024,2024,August,11656.53,0.320000034,3730.09,,20000018160,54,,10041237745,24,,10102743591,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,9.2024,2024,September,11251.47,0.319999964,3600.47,,20000018400,168,,10041237871,24,,10102743608,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,10.2024,2024,October,9668,0.32,3093.76,,20000022494,48,,10041238134,24,,10102743617,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,11.2024,2024,November,5086,0.32,1627.52,,20000022752,174,,10041364962,24,,10102743626,г»дм гећж—,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005606181,12.2024,2024,December,2808,0.32,898.56,,20000022888,384,,10041365093,24,,10102417666,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,1.2024,2024,January,1385,0.32,443.2,,20000023491,48,,10041477483,24,,10102417675,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,2.2024,2024,February,1585,0.32,507.2,,20000023796,548,,10041477607,24,,10102417737,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,3.2024,2024,March,1334,0.32,426.88,,20000023965,408,,10041477723,24,,10102417746,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,4.2024,2024,April,1184,0.32,378.88,,20000024309,192,,10041477840,24,,10102417755,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,5.2024,2024,May,1461.46,0.320001916,467.67,,20000024523,379,,10041477975,24,,10102417764,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,6.2024,2024,June,2870.88,0.319999443,918.68,,20000024748,108,,10041478103,24,,10102417773,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,7.2024,2024,July,4114.86,0.320001167,1316.76,,20000024882,24,,10041478239,24,,10102417782,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,8.2024,2024,August,5017.03,0.32000008,1605.45,,20000025899,1623,,10041637685,24,,10102417791,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
ен∆… «беб«б «б√Ќг— «б”Џжѕн,20000005027,10005767843,9.2024,2024,September,4793.42,0.319999082,1533.89,,20000060154,1443,,10041647430,24,,10102417808,«бЏѕ«ѕ г“«б Ён «бЎ»нЏ… ж«бдў«г,0,д‘Ў
